model,dependent_variable,sample,n_observations,n_firms,n_industries,r_squared,adj_r_squared,covariance,log_market_cap_coef,log_market_cap_se,log_market_cap_p,log_market_cap_sig,log_assets_coef,log_assets_se,log_assets_p,log_assets_sig,is_csi500_coef,is_csi500_se,is_csi500_p,is_csi500_sig
M1_pooled_ols,eps,Full selected-year sample,3496,1707,31,0.1200177449457478,0.11926174644484211,cluster,0.8296822773211734,0.2859495357548857,0.0037138202578665966,***,-0.251432679807709,0.10412215724321983,0.015744476819333865,**,0.27425058751396125,0.15479296521340574,0.07644019485474636,*
M2_year_industry_fe,eps,Full sample with year and industry fixed effects,3496,1707,31,0.16762057341361214,0.15871425797587468,cluster,0.7799941984582215,0.27838235019799334,0.005080562120799873,***,-0.26422132703687906,0.07054050330364117,0.0001799141834938919,***,0.1280601084343666,0.21375762680535806,0.5491127082270455,
M3_non_financial_fe,eps,Excludes banks and non-bank financial firms,3201,1592,29,0.17195269651965783,0.1627957753121344,cluster,0.8758259872902693,0.32737383609237014,0.007466052597456359,***,-0.2870214060556891,0.06644616887892295,1.563065637675889e-05,***,0.22245533508380408,0.26125599546718,0.3945004730798678,
M4_winsorized_eps_fe,eps_w,EPS winsorized at 1st and 99th percentiles,3496,1707,31,0.2720074361380691,0.2642180420192457,cluster,0.4858961707642414,0.07836782348716312,5.639149235426056e-10,***,-0.19082678335439374,0.04358014957852877,1.1935940598635372e-05,***,-0.07165562198073203,0.08597074216829972,0.4045693002959361,
M5_efficiency_fe,eps_asset_scaled_w,"Alternative outcome: winsorized EPS/assets, scaled by 1e12",3496,1707,31,0.30638437410585606,0.2989628072585214,cluster,52.6448767325435,6.829839019350284,1.2773476061142488e-14,***,-67.48943141223445,8.320140340914577,4.996834628940212e-16,***,9.959901109488609,4.8432072457140105,0.03973741989385687,**
M6_firm_year_fe,eps_w,Repeat-firm sample with firm and year fixed effects,2722,933,31,0.7121826958249684,0.560767871755322,HC3,0.5429707803146334,0.05010672689498682,2.3168907706943534e-27,***,-0.06982418374960647,0.048764401701408604,0.15218161699496965,,,,,
