model,term,coefficient,std_error,t_value,p_value
M1_pooled_ols,Intercept,-13.219568703997478,4.443101633514631,-2.975301893677455,0.0029270033703955012
M1_pooled_ols,log_market_cap,0.8296822773211734,0.2859495357548857,2.9014989485150706,0.0037138202578665966
M1_pooled_ols,log_assets,-0.251432679807709,0.10412215724321983,-2.4147855409909083,0.015744476819333865
M1_pooled_ols,is_csi500,0.27425058751396125,0.15479296521340574,1.7717251370943436,0.07644019485474636
M2_year_industry_fe,Intercept,-11.960945127295219,5.408783073594879,-2.2113930184568353,0.02700863288975779
M2_year_industry_fe,C(year)[T.2009],-0.1749959135530396,0.08538556732822283,-2.0494788408485225,0.040415314799891855
M2_year_industry_fe,C(year)[T.2014],-0.07001274561079378,0.11644919947103734,-0.6012299434330332,0.5476868432616895
M2_year_industry_fe,C(year)[T.2019],-0.0032511290879768465,0.21583789191215164,-0.015062828214149216,0.9879820563837448
M2_year_industry_fe,C(year)[T.2023],0.34081240567586774,0.21523374760067607,1.5834524533214847,0.11331837560331265
M2_year_industry_fe,C(industry)[T.传媒],0.21081262764197595,0.06006560291101539,3.509706344815781,0.0004486018315096804
M2_year_industry_fe,C(industry)[T.公用事业],0.02303223973996974,0.01974518674884632,1.1664736339510933,0.24342300263983374
M2_year_industry_fe,C(industry)[T.农林牧渔],0.11234232479863229,0.06245277732297989,1.7988363306509867,0.07204457451265765
M2_year_industry_fe,C(industry)[T.医药生物],0.34171758385397244,0.06324151893434259,5.403374074692039,6.539887301893201e-08
M2_year_industry_fe,C(industry)[T.商贸零售],0.3984388049592801,0.08597499586923095,4.634356779328149,3.5804901847663753e-06
M2_year_industry_fe,C(industry)[T.国防军工],-0.0631918014294417,0.059814077247583274,-1.0564703885320725,0.2907533624642801
M2_year_industry_fe,C(industry)[T.基础化工],0.29399653029821304,0.06236981527828743,4.713763043652318,2.431834423075802e-06
M2_year_industry_fe,C(industry)[T.家用电器],1.0001679082558161,0.028610347053959068,34.95825850590002,9.69997532345965e-268
M2_year_industry_fe,C(industry)[T.建筑材料],0.5258409673642547,0.04354023929157047,12.077126261133323,1.3951079155584577e-33
M2_year_industry_fe,C(industry)[T.建筑装饰],0.425234252928609,0.0751515795232998,5.658354164023532,1.5283150249949606e-08
M2_year_industry_fe,C(industry)[T.房地产],0.4560603472528224,0.05559378094366133,8.203441815101465,2.3360074488569613e-16
M2_year_industry_fe,C(industry)[T.有色金属],-0.03112537436882241,0.029650893095348824,-1.0497280560397313,0.29384316072203764
M2_year_industry_fe,C(industry)[T.机械设备],0.2849380344667831,0.04197764915034724,6.787851159702832,1.1381597841790955e-11
M2_year_industry_fe,C(industry)[T.汽车],0.4895875458022933,0.020794566751120156,23.544012802090254,1.4457859442042913e-122
M2_year_industry_fe,C(industry)[T.煤炭],0.31617934882724463,0.05658030220983266,5.588152351231137,2.2949826407722397e-08
M2_year_industry_fe,C(industry)[T.环保],0.21022336299288086,0.10003687688167463,2.101458677498866,0.035600721736845586
M2_year_industry_fe,C(industry)[T.电力设备],0.47808647511565394,0.05059043648479043,9.45013540769482,3.3839266017795083e-21
M2_year_industry_fe,C(industry)[T.电子],0.02474343388222666,0.06765629493236383,0.3657225673821295,0.7145721046980212
M2_year_industry_fe,C(industry)[T.石油石化],-0.35976401233041755,0.13566298561166373,-2.6518951408031413,0.008004139541380484
M2_year_industry_fe,C(industry)[T.社会服务],0.10143184770448155,0.07611803494410384,1.3325599876424363,0.1826762432250214
M2_year_industry_fe,C(industry)[T.纺织服饰],0.4993522759520958,0.09250588814276553,5.398059366571769,6.736557870434081e-08
M2_year_industry_fe,C(industry)[T.综合],0.23353080246896799,0.10030392216764748,2.3282320114924895,0.019899787245440233
M2_year_industry_fe,C(industry)[T.美容护理],0.7974740299345102,0.09546659084879451,8.35343571865466,6.630550327902646e-17
M2_year_industry_fe,C(industry)[T.计算机],-0.19424051941445775,0.06990073733837315,-2.7788050142330363,0.005455926422397948
M2_year_industry_fe,C(industry)[T.轻工制造],0.7254226540418205,0.07207544301681855,10.064768576899981,7.907307883793438e-24
M2_year_industry_fe,C(industry)[T.通信],0.1778883839037027,0.03139497535281605,5.666141855650368,1.4604862774864147e-08
M2_year_industry_fe,C(industry)[T.钢铁],0.024393843905836342,0.02938870574489396,0.8300414491738741,0.4065153491537725
M2_year_industry_fe,C(industry)[T.银行],0.4942644622256667,0.23939460893646755,2.0646432449815046,0.03895676830152007
M2_year_industry_fe,C(industry)[T.非银金融],-0.013964734631693732,0.07969015653842479,-0.17523788681429245,0.8608927155294667
M2_year_industry_fe,C(industry)[T.食品饮料],1.3560728262343238,0.08528216331995278,15.901013452798452,6.234790741536751e-57
M2_year_industry_fe,log_market_cap,0.7799941984582215,0.27838235019799334,2.8018809306820915,0.005080562120799873
M2_year_industry_fe,log_assets,-0.26422132703687906,0.07054050330364117,-3.745668299239941,0.0001799141834938919
M2_year_industry_fe,is_csi500,0.1280601084343666,0.21375762680535806,0.5990902422909788,0.5491127082270455
M3_non_financial_fe,Intercept,-13.70456816600716,6.625916960104677,-2.0683277874630432,0.03860921051517237
M3_non_financial_fe,C(year)[T.2009],-0.16602108524908543,0.09883911959171855,-1.679710280047819,0.09301369867599857
M3_non_financial_fe,C(year)[T.2014],-0.11183912257789194,0.13317749678915627,-0.8397749265024347,0.40103459437404876
M3_non_financial_fe,C(year)[T.2019],-0.10902762592773811,0.28135565181700106,-0.38750821326543566,0.698380005686773
M3_non_financial_fe,C(year)[T.2023],0.24263763570155905,0.24919573069240353,0.9736829560738361,0.3302139825199031
M3_non_financial_fe,C(industry)[T.传媒],0.2199914489787648,0.06862441294184919,3.2057315982459578,0.001347195851315911
M3_non_financial_fe,C(industry)[T.公用事业],0.031496062053092626,0.020230464785765234,1.5568629977920332,0.11950301622881807
M3_non_financial_fe,C(industry)[T.农林牧渔],0.12192652424257963,0.07867850155559326,1.549680304427606,0.12121826770989573
M3_non_financial_fe,C(industry)[T.医药生物],0.3383742965875478,0.0564392271827768,5.995374378386374,2.0301718331143345e-09
M3_non_financial_fe,C(industry)[T.商贸零售],0.41468159291908646,0.1020276090601636,4.0644056715526595,4.815500862525394e-05
M3_non_financial_fe,C(industry)[T.国防军工],-0.06534669597594392,0.05096871275165805,-1.2820942976202228,0.19980956909518566
M3_non_financial_fe,C(industry)[T.基础化工],0.3072500796072235,0.07897935790503018,3.8902580086391767,0.0001001376942758938
M3_non_financial_fe,C(industry)[T.家用电器],0.9989006934583095,0.02291394898391196,43.593563648048814,0.0
M3_non_financial_fe,C(industry)[T.建筑材料],0.5408972276281196,0.055594737911390475,9.729288201524167,2.261699992608403e-22
M3_non_financial_fe,C(industry)[T.建筑装饰],0.45269750829990957,0.07641117791029389,5.924493257143252,3.132618632766286e-09
M3_non_financial_fe,C(industry)[T.房地产],0.4655468967378981,0.05348065269654366,8.704959144374568,3.176891756160693e-18
M3_non_financial_fe,C(industry)[T.有色金属],-0.03647840256847111,0.027293355837613734,-1.336530501617511,0.1813759377645342
M3_non_financial_fe,C(industry)[T.机械设备],0.28830500696831857,0.05150515085735887,5.597595622363401,2.1734497878037894e-08
M3_non_financial_fe,C(industry)[T.汽车],0.49521635076484666,0.02462013741965904,20.1142805307585,5.533606438570776e-90
M3_non_financial_fe,C(industry)[T.煤炭],0.29447399620333764,0.07046675647962987,4.178906635052268,2.9291389571609294e-05
M3_non_financial_fe,C(industry)[T.环保],0.23531283455028446,0.12198672152367093,1.9290036785243314,0.05373040556215169
M3_non_financial_fe,C(industry)[T.电力设备],0.4917861436320527,0.0565484553687293,8.696721076204767,3.4161176134985054e-18
M3_non_financial_fe,C(industry)[T.电子],0.029140839288948492,0.054720899219781384,0.5325358264290766,0.5943549352885924
M3_non_financial_fe,C(industry)[T.石油石化],-0.39910204632334556,0.16531426618079736,-2.4142020863877787,0.015769713163275224
M3_non_financial_fe,C(industry)[T.社会服务],0.10371638814772048,0.09457455979832054,1.0966626582126824,0.27278888584831273
